id,code,name,supplier,image_path,image_count,has_y_source,y_file_count,y_paths,review_status
1854,IPK6602,Gạch 600x600mm Mờ,Phổ An,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/f0d984c3fcbbe9c40668d70278b908cef23209c95e5303b6ac5f227e7af5786f.webp,1,yes,3,Gạch KIS - Phổ An\IPK6602.jpg || Gạch KIS - Phổ An\Web\IPK6602.jpg || Gạch KIS - Phổ An\MAP\IPK6602.jpg,
1855,IPK6603,Gạch 600x600mm Mờ,Phổ An,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/1795591b14c64140cc380dd499e39e4fb567f848cfcd9c3386622c2a346e2033.webp,1,yes,3,Gạch KIS - Phổ An\IPK6603.jpg || Gạch KIS - Phổ An\Web\IPK6603.jpg || Gạch KIS - Phổ An\MAP\IPK6603.jpg,
1856,IPK6604,Gạch 600x600mm Mờ,Phổ An,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/510ec0d995e832cc4f08e8e2a07f5d99be96805abbd376b979bb150d88df1d40.webp,1,yes,3,Gạch KIS - Phổ An\IPK6604.jpg || Gạch KIS - Phổ An\Web\IPK6604.jpg || Gạch KIS - Phổ An\MAP\IPK6604.jpg,
1857,IPK6605,Gạch 600x600mm Mờ,Phổ An,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/98888ed2670f7c7a0fa9654e3b2cd5e73b850ff17bf7d816abc63d243e53f674.webp,1,yes,3,Gạch KIS - Phổ An\IPK6605.jpg || Gạch KIS - Phổ An\Web\IPK6605.jpg || Gạch KIS - Phổ An\MAP\IPK6605.jpg,
1858,IPK6607,Gạch 600x600mm Mờ,Phổ An,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/de024719e502db903d61c38c8d4bc25f018f8c041cf7f38f2f699230b8875a72.webp,1,yes,3,Gạch KIS - Phổ An\IPK6607.jpg || Gạch KIS - Phổ An\Web\IPK6607.jpg || Gạch KIS - Phổ An\MAP\IPK6607.jpg,
1859,IPK6608,Gạch 600x600mm Nhám Mờ,Phổ An,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/aa9556e97ead145d2733e9f890e7c27eff92e5171e13bc92cd3e147ea852a06d.webp,1,yes,3,Gạch KIS - Phổ An\IPK6608.jpg || Gạch KIS - Phổ An\Web\IPK6608.jpg || Gạch KIS - Phổ An\MAP\IPK6608.jpg,
1860,IPK6609,Gạch 600x600mm Nhám Mờ,Phổ An,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/f88c74675f51f87f8d75b5e9c234a47081d3df31b633ee43d630d1a32918c5b0.webp,1,yes,3,Gạch KIS - Phổ An\IPK6609.jpg || Gạch KIS - Phổ An\Web\IPK6609.jpg || Gạch KIS - Phổ An\MAP\IPK6609.jpg,
1861,IPK6610,Gạch 600x600mm Mờ,Phổ An,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/e1aa9ddd721c8d05284ec028727ff666589c43051425ccc8075b552f0195630e.webp,1,no,0,,
1862,IPK6611,Gạch 600x600mm Mờ,Phổ An,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/c847ab9e5e2c9d3a2d41cb626bdf401c3555abd9def40a29a6012d59dc1e33f0.webp,1,no,0,,
1863,IPK6612,Gạch 600x600mm Mờ,Phổ An,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/0558f8c083032bca0f71400ac3fa6ae51772fc1c9c20065bc2695fb5c5c92504.webp,1,no,0,,
1864,IPK6613,Gạch 600x600mm Mờ,Phổ An,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/bc9e37e6bfae941f0b1dffba2be3e8b99639b04d6a683b722ef691284b4880d9.webp,1,no,0,,
1865,IPK6614,Gạch 600x600mm Mờ,Phổ An,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/542f0bc38ab9eeda0b9b094143f69f8e3c74972035ab5e309db3263b796fb005.webp,1,no,0,,
1866,IPK6615,Gạch 600x600mm Mờ,Phổ An,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/0a628a8541852cc4ac4b7b9141e511a89e0d5075a86fe3cbbb39d695757a5a34.webp,1,no,0,,
1867,IPK6630-S,Gạch 600x600mm Be Nhám Cát,Phổ An,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/c761eaecddcf722b79d840ac4f47084a0afef45bdff5be8792c28e1fe9d423c0.webp,1,yes,3,Gạch KIS - Phổ An\IPK6630-S.jpg || Gạch KIS - Phổ An\Web\IPK6630-S.jpg || Gạch KIS - Phổ An\MAP\IPK6630-S.jpg,
1868,IPK6631-S,Gạch 600x600mm Xám Nhám Cát,Phổ An,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/b67039dd52b2915e48209b8cf714fd80156b911979ca39f9a2a5d92d6d97322e.webp,1,yes,3,Gạch KIS - Phổ An\IPK6631-S.jpg || Gạch KIS - Phổ An\Web\IPK6631-S.jpg || Gạch KIS - Phổ An\MAP\IPK6631-S.jpg,
1869,IPK6632-S,Gạch 600x600mm Xám Đậm Nhám Cát,Phổ An,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/273ea6961b78279867f82c1cc46f8cfe1d328da57ccdb2d9ff1d65663374a184.webp,1,yes,3,Gạch KIS - Phổ An\IPK6632-S.jpg || Gạch KIS - Phổ An\Web\IPK6632-S.jpg || Gạch KIS - Phổ An\MAP\IPK6632-S.jpg,
1870,IPK6633,Gạch 600x600mm Trắng Nhám,Phổ An,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/5c9c9551f48e787c8dc7f7c36113719f7e7f23d9dc98f3f4e229c899616cf342.webp,1,yes,3,Gạch KIS - Phổ An\IPK6633.jpg || Gạch KIS - Phổ An\Web\IPK6633.jpg || Gạch KIS - Phổ An\MAP\IPK6633.jpg,
1871,IPK6634,Gạch 600x600mm Đen Nhám,Phổ An,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/2d5c335a9f7bcff519b2a40f0515edf75f761b4b7f7e7de338ce3e3f9d6c3ce7.webp,1,yes,3,Gạch KIS - Phổ An\IPK6634.jpg || Gạch KIS - Phổ An\Web\IPK6634.jpg || Gạch KIS - Phổ An\MAP\IPK6634.jpg,
1872,IPK8801,Gạch 800x800mm Mờ,Phổ An,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/cd4e66987b9a34d2718102d5959e05e2fdadfbd81e1e5d9b8943df5b64d65f68.webp,3,yes,3,Gạch KIS - Phổ An\hình gốc\IPK8801 map.jpg || Gạch KIS - Phổ An\hình gốc\IPK8801 r.jpg || Gạch KIS - Phổ An\hình gốc\IPK8801.jpg,
1873,IPK8802,Gạch 800x800mm Mờ,Phổ An,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/81b1d0f3293e35334456b99b1445a60f1844b246ba333321fe8911a2bcc65eee.webp,2,yes,3,Gạch KIS - Phổ An\hình gốc\IPK8802 map.jpg || Gạch KIS - Phổ An\hình gốc\IPK8802 r.jpg || Gạch KIS - Phổ An\hình gốc\IPK8802.jpg,
1874,IPK8810,Gạch 800x800mm Mờ,Phổ An,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/591853405f974cbc39c5520222cee83bc4e9e180b19228eadbd44fa88dfb4fa0.webp,3,yes,3,Gạch KIS - Phổ An\hình gốc\IPK8810 map.jpg || Gạch KIS - Phổ An\hình gốc\IPK8810 r.jpg || Gạch KIS - Phổ An\hình gốc\IPK8810.jpg,
